complaint_text,officer,priority,eta_days
The situation is getting worse — children falling into open drainage pit on the highway service road — emergency cover needed for the last 4 days.,Drainage Officer,High,2
"Kindly send someone to fix this, water meter at in the downtown area is broken and possibly causing billing errors.",Water Officer,Low,6
Multiple families are affected as manhole overflowing with grey water on Cedar Road for the past 2 days — unbearable smell and hygiene risk.,Drainage Officer,High,2
We have noticed that transformer near the hospital is sparking and making loud noises — several houses lost power for the past 2 days.,Electrical Officer,High,2
Please take immediate action — unbearable smell from garbage near the bus depot — unbearable for residents nearby since the rain last week.,Sanitation Officer,High,2
Our locality has been suffering because open drain near the railway crossing overflowing for several days — drain water water entering homes.,Drainage Officer,High,1
Multiple families are affected as commercial waste being mixed with residential garbage on Oak Avenue since the rain last week.,Sanitation Officer,Medium,4
Recyclable waste not being collected separately near the temple since yesterday — mixed with general waste.,Sanitation Officer,Low,6
Multiple families are affected as dead animal carcass lying in Block C of the housing society for the last 4 days — causing foul smell and health concern.,Sanitation Officer,High,2
Construction waste from site on MG Road not removed by contractor since the rain last week.,Sanitation Officer,Medium,5
This is a serious issue — the overhead water tank at near the main market is overflowing and wasting water since this morning.,Water Officer,Low,6
I wanted to bring to your attention that expressway road pit on 5th and Broadway is very deep — tyres of vehicles get damaged daily.,Road Officer,High,5
Overflowing garbage bins near the railway crossing since last night — waste spilling onto the road and footpath.,Sanitation Officer,High,2
This problem has been ignored for too long — no municipal water in our area near the school since last Monday — taps are completely dry.,Water Officer,High,1
Garbage bins at in Ward 7 not disinfected — spreading disease risk for the past 3 days.,Sanitation Officer,High,2
Drainage infrastructure near the temple is old and collapsed — requires full replacement.,Drainage Officer,Low,6
Electric wire hanging low over the road in the old city area for over a week — serious safety hazard.,Electrical Officer,High,2
The situation is getting worse — traffic signal at near the vegetable market is malfunctioning — causing major traffic confusion for the past 3 days.,Electrical Officer,High,1
Our locality has been suffering because sewage water mixing with drinking water supply on Station Road — serious health risk for over a week.,Water Officer,High,2
Sewage water mixing with drinking water supply in the old city area — serious health risk for the last 4 days.,Water Officer,High,2
No sodium lights installed on the new road near the railway crossing — dangerous after dark.,Electrical Officer,Medium,6
I wanted to bring to your attention that electrical meter board at in Sector 12 appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
Please look into this urgently — the water supply has been disrupted near the school since the pipeline repair work began for the past month.,Water Officer,Medium,3
I wanted to bring to your attention that water is leaking from the main pipeline on the highway service road and waterlogging the road for the last 4 days.,Water Officer,High,2
Broken electric meter box on Station Road exposed to rain — shock risk for the last 4 days.,Electrical Officer,High,1
Water is leaking from the main conduitline in Sector 12 and flooding the road for the past 2 days.,Water Officer,High,1
Manhole cover missing on on MG Road — open pit is extremely hazardous for pedestrians since last Monday.,Road Officer,High,4
Please look into this urgently — high voltage buzzing sound from transformer near the playground since this morning — people are afraid.,Electrical Officer,High,2
Sidewalk in Block C of the housing society is cracked and uneven — elderly person tripped there recently.,Road Officer,Medium,9
Bulk garbage items like old furniture dumped in the residential colony — blocking the footpath for the last 4 days.,Sanitation Officer,Medium,4
Please take immediate action — no water supply in our area near the bus depot since last night — taps are completely dry.,Water Officer,High,1
Road has completely caved in near the flyover — one lane blocked for over a week.,Road Officer,High,5
This problem has been ignored for too long — electricity pole tilting dangerously near the railway crossing since last night — risk of falling on pedestrians.,Electrical Officer,High,1
"As a resident, I urge you to address the fact that open lot near the vegetable market being used for illegal garbage dumping for several days.",Sanitation Officer,Medium,5
Water connection was illegally disconnected near the main market — residents have no water for the past month.,Water Officer,High,1
Drain cover missing near the railway crossing — open sewer gutter accessible to pedestrians since last night.,Drainage Officer,High,2
Commercial waste being mixed with residential refuse near the bus depot since this morning.,Sanitation Officer,Medium,4
Litter basket cover broken at on Park Lane — waste exposed to rain and pests since the rain last week.,Sanitation Officer,Medium,5
Road collapse due to waterlogging on Park Lane — several vehicles got stuck since last night.,Road Officer,High,5
Drinking water supplied on Oak Avenue appears discolored with visible sediment since last night.,Water Officer,High,2
No water supply in our area on Elm Street for over a week — taps are completely dry.,Water Officer,High,2
Multiple families are affected as there is a major pipe burst on Elm Street and water is gushing onto the road for the past 2 days.,Water Officer,High,2
No water connection in our area in Sector 12 for the past 2 days — taps are completely dry.,Water Officer,High,2
Our locality has been suffering because no water supply in our area in the old city area for the past month — taps are completely dry.,Water Officer,High,1
This is a serious issue — underground cable fault in the old city area causing power fluctuations for several days.,Electrical Officer,Medium,4
Water pipes appear to have a crack in the downtown area — water seeping into the ground for over a week.,Water Officer,Medium,3
Water is leaking from the main pipeline on Cedar Road and flooding the road since yesterday.,Water Officer,High,2
Several complaints have been raised about this — lane collapse due to waterlogging near the main market — several vehicles got stuck since this morning.,Road Officer,High,5
Sewage water mixing with drinking water flow in Block C of the housing society — serious health risk since last Monday.,Water Officer,High,1
We have noticed that dead animal carcass lying near the flyover for 10 days now — causing stench and health concern.,Sanitation Officer,High,1
Pump house near the railway crossing is not functioning properly — water connection affected for the past month.,Water Officer,Medium,4
Frequent power cuts happening near the temple since last night — load shedding with no prior notice.,Electrical Officer,Medium,4
Drainage canal near in Block C of the housing society needs urgent desilting — overflow risk before monsoon.,Drainage Officer,Medium,5
This is a serious issue — bulk waste items like old furniture dumped on Oak Avenue — blocking the footpath for the last 4 days.,Sanitation Officer,Medium,4
Commercial waste being mixed with residential garbage on Station Road for 10 days now.,Sanitation Officer,Medium,4
Gutter on MG Road clogged with debris — overflow during monsoon causing road damage for 10 days now.,Drainage Officer,Medium,4
I would like to report that water connection was illegally disconnected in Ward 7 — residents have no water since yesterday.,Water Officer,High,2
Several complaints have been raised about this — no water supply in our area near the flyover for the past 2 days — taps are completely dry.,Water Officer,High,2
Guardrail on the highway near the temple is broken — vehicles at risk of going off road since yesterday.,Road Officer,High,4
Water pipes appear to have a crack in the old city area — water seeping into the ground for the past 2 days.,Water Officer,Medium,3
Please look into this urgently — sidewalk in Ward 7 is cracked and uneven — elderly person tripped there recently.,Road Officer,Medium,8
I am writing to inform you that unauthorized electrical connection spotted at on Maple Street — risk of overloading.,Electrical Officer,Medium,5
Please look into this urgently — road light is on during the day and off at night on MG Road — sensor malfunction.,Electrical Officer,Medium,6
Several complaints have been raised about this — water pipelines appear to have a crack on the highway service road — water seeping into the ground for 10 days now.,Water Officer,Medium,3
I would like to report that footpath near the temple is completely blocked by debris and encroachment since the rain last week.,Road Officer,Medium,11
Water meter at on Park Lane is crackedn and possibly causing billing errors.,Water Officer,Low,6
Multiple families are affected as basement flooding in near the bus depot area due to blocked drainage since last Monday.,Drainage Officer,High,1
I am writing to inform you that lane collapse due to waterlogging in the downtown area — several vehicles got stuck since the rain last week.,Road Officer,High,5
Footpath tiles broken and uneven in Sector 12 — causing falls especially in rainy season.,Road Officer,Low,15
Drinking water supplied on Station Road appears discolored with visible sediment for the past 3 days.,Water Officer,High,1
I wanted to bring to your attention that drinking water supplied in Sector 12 appears discolored with visible sediment since this morning.,Water Officer,High,2
Several complaints have been raised about this — dirty brown water is coming from the taps in Sector 4 for the past 2 days — not safe to drink.,Water Officer,High,1
This is a serious issue — unauthorized electrical connection spotted at in Block C of the housing society — risk of overloading.,Electrical Officer,Medium,5
Please take immediate action — highway onramp on Elm Street has surface cracking — dangerous for heavy vehicles since the rain last week.,Road Officer,High,6
Alley behind houses near the playground filled with garbage — breeding ground for mosquitoes for the past 2 days.,Sanitation Officer,High,2
I am writing to inform you that stormwater drain blocked in Ward 7 — entire road waterlogged every time it rains since this morning.,Drainage Officer,High,3
Our locality has been suffering because catch basin at near the school requires repairing — broken cover creating fall hazard.,Drainage Officer,Medium,5
"Kindly send someone to fix this, the overhead water tank at near the bus depot is overflowing and wasting water for 10 days now.",Water Officer,Low,6
Water tanker not arriving on schedule on Elm Street since this morning — community is suffering.,Water Officer,Medium,3
Our locality has been suffering because alley behind houses on MG Road filled with rubbish — breeding ground for mosquitoes since this morning.,Sanitation Officer,High,2
We have noticed that refuse truck not arriving near the hospital for over a week — 10+ days of accumulated waste on street.,Sanitation Officer,High,2
I am writing to inform you that frozen water line suspected on Park Lane — no water flow in the entire building since last Monday.,Water Officer,High,1
Sewage backup in residential area on Elm Street — water coming up from floor drains for the past 2 days.,Drainage Officer,High,1
I wanted to bring to your attention that illegal dumping of construction waste noticed in Block C of the housing society since this morning — blocking pedestrian path.,Sanitation Officer,Medium,4
Multiple families are affected as water tanker not arriving on schedule on Elm Street for over a week — community is suffering.,Water Officer,Medium,3
Roadside drain cover broken at near the main market — open gutter visible beside the lane since the rain last week.,Road Officer,Medium,8
No water supply in our area near the temple since last night — taps are completely dry.,Water Officer,High,1
Pump house in Block C of the housing society is not functioning properly — water supply affected for the past month.,Water Officer,Medium,4
Water pressure is very low on Cedar Road — water barely reaches upper floors since yesterday.,Water Officer,Medium,4
No street lights installed on the new road near the playground — dangerous after dark.,Electrical Officer,Medium,6
Residents are complaining that multiple potholes on the main arterial highway on Cedar Road causing traffic slowdown for 10 days now.,Road Officer,Medium,9
Please look into this urgently — water is leaking from the main pipeline near the school and flooding the road since yesterday.,Water Officer,High,1
Please look into this urgently — road markings completely faded near the bus depot — causing confusion especially at night since last night.,Road Officer,Low,14
Dim and flickering lamp posts on Station Road make the road hazardous at night for the past 2 days.,Electrical Officer,Medium,6
Road collapse due to waterlogging near the flyover — several vehicles got stuck for the past month.,Road Officer,High,4
I would like to report that standing water not draining in Block C of the housing society since last night — mosquito breeding happening.,Drainage Officer,Medium,4
Tap water tastes foul and has a strange odor near the school for 10 days now.,Water Officer,High,1
Recyclable waste not being collected separately near the flyover since this morning — mixed with general waste.,Sanitation Officer,Low,6
I wanted to bring to your attention that manhole cover missing on in the old city area — open pit is extremely dangerous for pedestrians for the past month.,Road Officer,High,5
Waterlogging reported on 5th and Broadway every monsoon — permanent drainage solution needed.,Drainage Officer,Medium,6
Litter basket near the school is overflowing — no collection in days for over a week.,Sanitation Officer,Medium,4
Water connection was illegally disconnected near the playground — residents have no water since this morning.,Water Officer,High,1
Frozen conduit suspected in Ward 7 — no water flow in the entire building since last Monday.,Water Officer,High,2
Stormwater drain blocked on Station Road — entire road under water every time it rains for 10 days now.,Drainage Officer,High,2
Water tanker not arriving on schedule in the downtown area for the last 4 days — community is suffering.,Water Officer,Medium,3
Residents are complaining that pump house near the playground is not functioning properly — water supply affected for the past month.,Water Officer,Medium,4
Power supply interruption affecting hospitals and essential services on Elm Street for over a week.,Electrical Officer,High,1
Frozen pipeline suspected in Sector 12 — no water flow in the entire building since last night.,Water Officer,High,1
Alley behind houses near the hospital filled with garbage — breeding ground for mosquitoes for the past 2 days.,Sanitation Officer,High,3
I would like to report that electrical meter board at near the railway crossing appears to have faulty wiring — sparks visible.,Electrical Officer,High,2
"Kindly send someone to fix this, waste not collected before festival season near the temple — piling up on roads since last night.",Sanitation Officer,High,1
I wanted to bring to your attention that drainage infrastructure near the temple is old and collapsed — requires full replacement.,Drainage Officer,Low,7
Recyclable waste not being collected separately near the vegetable market for the past 3 days — mixed with general waste.,Sanitation Officer,Low,5
Tap water tastes foul and has a strange odor on Oak Avenue since last night.,Water Officer,High,2
Multiple families are affected as alley behind houses in the old city area filled with garbage — breeding ground for mosquitoes for 10 days now.,Sanitation Officer,High,2
Please take immediate action — stormwater grate broken at near the main market — water rushing in uncontrolled manner for the past month.,Drainage Officer,High,1
"As a resident, I urge you to address the fact that water meter at on Station Road is broken and possibly causing billing errors.",Water Officer,Low,5
Road has completely caved in near the temple — one lane blocked since the rain last week.,Road Officer,High,4
Catch basin in the residential colony completely clogged — street inundated knee-deep after last night rain.,Drainage Officer,High,1
Electricity pole tilting dangerously in Sector 12 for the past month — risk of falling on pedestrians.,Electrical Officer,High,1
Our locality has been suffering because sewage water mixing with drinking water supply near the playground — serious health risk for the past 3 days.,Water Officer,High,2
Rain water from highway on Cedar Road not draining — entering residential plots for several days.,Drainage Officer,High,2
Street light is on during the day and off at night near the railway crossing — sensor malfunction.,Electrical Officer,Low,7
Standing water not draining on Elm Street for the past 2 days — mosquito breeding happening.,Drainage Officer,Medium,4
This problem has been ignored for too long — road has completely caved in in the residential colony — one lane blocked since the rain last week.,Road Officer,High,5
Sewage water mixing with drinking water supply near the hospital — serious health risk for the last 4 days.,Water Officer,High,1
Water meter at near the flyover is broken and possibly causing billing errors.,Water Officer,Low,6
Residents are complaining that open lot near the hospital being used for illegal litter dumping for 10 days now.,Sanitation Officer,Medium,5
Please take immediate action — tap water tastes foul and has a strange odor in the old city area for 10 days now.,Water Officer,High,1
Stormwater drain blocked near the main market — entire road flooded every time it rains since last Monday.,Drainage Officer,High,2
Our locality has been suffering because underground cable fault in the old city area causing power fluctuations for 10 days now.,Electrical Officer,Medium,4
Road markings completely faded near the vegetable market — causing confusion especially at night for over a week.,Road Officer,Low,14
Tap water tastes foul and has a strange odor near the vegetable market for the past 3 days.,Water Officer,High,1
Our locality has been suffering because water connection was illegally disconnected near the temple — residents have no water for several days.,Water Officer,High,2
We have noticed that civic contractor skipping collection in in Block C of the housing society area since yesterday — residents fed up.,Sanitation Officer,Medium,4
Bulk waste items like old furniture dumped near the bus depot — blocking the footpath since last Monday.,Sanitation Officer,Medium,4
Our locality has been suffering because stormwater drain blocked near the playground — entire road flooded every time it rains for the past 2 days.,Drainage Officer,High,3
Residents are complaining that commercial waste being mixed with residential trash on MG Road for several days.,Sanitation Officer,Medium,4
"Kindly send someone to fix this, underground cable fault on 5th and Broadway causing power fluctuations for the past month.",Electrical Officer,Medium,4
There is no hot water supply in the building on Park Lane since this morning.,Water Officer,Medium,4
I wanted to bring to your attention that road light pole knocked down near the bus depot — posing risk to passing traffic for the last 4 days.,Electrical Officer,High,1
Water pipes appear to have a crack near the hospital — water seeping into the ground since yesterday.,Water Officer,Medium,3
"Kindly send someone to fix this, broken electric meter box near the hospital exposed to rain — shock risk for the past 3 days.",Electrical Officer,High,1
This problem has been ignored for too long — there is no hot water flow in the building near the playground for the last 4 days.,Water Officer,Medium,4
Foul odor from sewer near the playground is affecting entire neighbourhood since the rain last week.,Drainage Officer,Medium,4
I am writing to inform you that underground water pipe leaking near in the old city area — road surface getting soft and dangerous.,Water Officer,High,1
Drain cover missing in the old city area — open sewer gutter accessible to pedestrians since last Monday.,Drainage Officer,High,1
High voltage buzzing sound from substation unit in the downtown area for the past month — people are afraid.,Electrical Officer,High,2
Road surface badly damaged in Block C of the housing society — rough patches causing damage to vehicles since last Monday.,Road Officer,Medium,9
Basement flooding in near the flyover area due to blocked drainage since yesterday.,Drainage Officer,High,1
Multiple families are affected as manhole cover missing on near the flyover — open pit is extremely dangerous for pedestrians for the last 4 days.,Road Officer,High,5
This is a serious issue — effluent backup in residential area on Maple Street — water coming up from floor drains since this morning.,Drainage Officer,High,2
The street lamp at the intersection near the school has been out for 10 days now — very unsafe at night.,Electrical Officer,Medium,5
"As a resident, I urge you to address the fact that frequent power cuts happening in the old city area since last night — load shedding with no prior notice.",Electrical Officer,Medium,4
Our locality has been suffering because no municipal water in our area in Ward 7 for the past 3 days — taps are completely dry.,Water Officer,High,1
Several complaints have been raised about this — road collapse due to waterlogging in Sector 12 — several vehicles got stuck since yesterday.,Road Officer,High,4
"Kindly send someone to fix this, illegal dumping of construction waste noticed in the residential colony for 10 days now — blocking pedestrian path.",Sanitation Officer,Medium,4
Street light pole knocked down in Sector 4 — posing risk to passing traffic for over a week.,Electrical Officer,High,2
I would like to report that foul smell from garbage near the flyover — unbearable for residents nearby since the rain last week.,Sanitation Officer,High,3
Power outage affecting entire neighbourhood in Ward 7 since this morning — no electricity at all.,Electrical Officer,High,2
Road divider damaged near the temple — risk of vehicles crossing into oncoming traffic for the last 4 days.,Road Officer,High,5
Waste uncollected before festival season near the flyover — piling up on roads since the rain last week.,Sanitation Officer,High,2
We have noticed that broken electric meter box on Elm Street exposed to rain — shock risk since last Monday.,Electrical Officer,High,2
We have noticed that pump house in Block C of the housing society is not functioning properly — water flow affected for the last 4 days.,Water Officer,Medium,4
Water pipes appear to have a crack in Block C of the housing society — water seeping into the ground since last Monday.,Water Officer,Medium,3
Multiple potholes on the main arterial highway near the vegetable market causing traffic slowdown for several days.,Road Officer,Medium,8
Footpath tiles broken and uneven near the school — causing falls especially in rainy season.,Road Officer,Low,15
Multiple families are affected as footpath near the playground is completely blocked by debris and encroachment since last Monday.,Road Officer,Medium,9
Damaged road on the highway service road has not been repaired despite multiple complaints since this morning.,Road Officer,Medium,11
Road surface badly damaged on Cedar Road — rough patches causing damage to vehicles for the last 4 days.,Road Officer,Medium,10
This problem has been ignored for too long — alley behind houses on MG Road filled with litter — breeding ground for mosquitoes since this morning.,Sanitation Officer,High,2
Standing water not draining on 5th and Broadway for over a week — mosquito breeding happening.,Drainage Officer,Medium,4
We have noticed that broken electric meter box near the vegetable market exposed to rain — shock risk for the past 2 days.,Electrical Officer,High,1
Road surface badly damaged on MG Road — rough patches causing damage to vehicles for over a week.,Road Officer,Medium,10
Missing signal head at near the main market junction — drivers confused about right of way for the past 2 days.,Electrical Officer,High,2
Garbage bins at on Park Lane not disinfected — spreading disease risk for the past 3 days.,Sanitation Officer,High,2
Footpath tiles broken and uneven in the downtown area — causing falls especially in rainy season.,Road Officer,Low,14
No water flow in our area in Sector 4 since this morning — taps are completely dry.,Water Officer,High,2
Water connection was illegally disconnected near the temple — residents have no water since last Monday.,Water Officer,High,1
Water meter at in the old city area is burstn and possibly causing billing errors.,Water Officer,Low,6
Dim and flickering street lights near the hospital make the road hazardous at night since this morning.,Electrical Officer,Medium,5
Road collapse due to waterlogging in Sector 12 — several vehicles got stuck for 10 days now.,Road Officer,High,4
We have noticed that sweeping of road not done near the vegetable market for the past 2 days — leaves and refuse scattered everywhere.,Sanitation Officer,Low,6
Foul odor from sewerage in Sector 12 is affecting entire neighbourhood for the past month.,Drainage Officer,Medium,4
Road divider damaged in the old city area — risk of vehicles crossing into oncoming traffic since last night.,Road Officer,High,4
Multiple families are affected as rain water from highway near the main market not draining — entering residential plots since the rain last week.,Drainage Officer,High,2
Illegal connection to main sewer near on Elm Street causing backup for residents for over a week.,Drainage Officer,Medium,5
Garbage not collected from our residential block on Elm Street since the rain last week — health hazard.,Sanitation Officer,High,3
Our locality has been suffering because highway onramp on Park Lane has surface cracking — unsafe for heavy vehicles for the past 2 days.,Road Officer,High,6
I wanted to bring to your attention that open drain near the vegetable market overflowing since this morning — sewage water entering homes.,Drainage Officer,High,1
Dirty brown water is coming from the taps on Cedar Road for the past month — not safe to drink.,Water Officer,High,2
Multiple families are affected as dead animal carcass lying near the hospital for the past 2 days — causing foul smell and health concern.,Sanitation Officer,High,1
Our locality has been suffering because litter basket cover broken at on Maple Street — waste exposed to rain and pests since last night.,Sanitation Officer,Medium,5
I am writing to inform you that alley behind houses in Sector 12 filled with garbage — breeding ground for mosquitoes for the last 4 days.,Sanitation Officer,High,3
Gutter on MG Road clogged with debris — overflow during monsoon causing road damage for several days.,Drainage Officer,Medium,4
This problem has been ignored for too long — blackout affecting entire neighbourhood on Station Road since last Monday — no electricity at all.,Electrical Officer,High,3
I wanted to bring to your attention that bad odor from garbage on Oak Avenue — unbearable for residents nearby since yesterday.,Sanitation Officer,High,3
This is a serious issue — no water supply in our area on Cedar Road since yesterday — taps are completely dry.,Water Officer,High,2
Water connection was illegally disconnected near the flyover — residents have no water for the past 2 days.,Water Officer,High,1
"Kindly send someone to fix this, traffic signal at on 5th and Broadway is not working — causing major traffic confusion for the last 4 days.",Electrical Officer,High,1
Underground water pipe leaking near on MG Road — road surface getting soft and dangerous.,Water Officer,High,1
Construction waste from site near the temple not removed by contractor for the past 3 days.,Sanitation Officer,Medium,5
Multiple families are affected as severe road damage near school zone near the bus depot — children safety at risk since last night.,Road Officer,High,4
This problem has been ignored for too long — foul odor from sewer on 5th and Broadway is affecting entire neighbourhood since yesterday.,Drainage Officer,Medium,4
Multiple families are affected as road markings completely faded in Sector 4 — causing confusion especially at night since last Monday.,Road Officer,Low,14
"As a resident, I urge you to address the fact that stormwater drain blocked near the bus depot — entire road flooded every time it rains for over a week.",Drainage Officer,High,2
Frozen pipe suspected near the flyover — no water flow in the entire building for over a week.,Water Officer,High,1
Waterlogging reported near the main market every monsoon — permanent drainage solution needed.,Drainage Officer,Medium,6
Residents are complaining that litter basket cover broken at in Ward 7 — waste exposed to rain and pests for over a week.,Sanitation Officer,Medium,5
The situation is getting worse — power supply interruption affecting hospitals and essential services on Elm Street for over a week.,Electrical Officer,High,1
We have noticed that electrical meter board at on Elm Street appears to have faulty wiring — sparks visible.,Electrical Officer,High,1
Overflowing garbage bins in Sector 4 since this morning — waste spilling onto the road and footpath.,Sanitation Officer,High,2
Sewage water mixing with drinking water flow on Maple Street — serious health risk for the past 3 days.,Water Officer,High,2
Road collapse due to waterlogging on Oak Avenue — several vehicles got stuck since the rain last week.,Road Officer,High,5
Power outage affecting entire neighbourhood in the residential colony for the past month — no electricity at all.,Electrical Officer,High,2
Please take immediate action — there is a major conduit burst on 5th and Broadway and water is gushing onto the road since last night.,Water Officer,High,2
Road surface badly damaged in Sector 12 — rough patches causing damage to vehicles since the rain last week.,Road Officer,Medium,9
Drainage infrastructure in Sector 12 is old and collapsed — requires full replacement.,Drainage Officer,Low,6
I am writing to inform you that large pothole on MG Road is getting bigger — cars are swerving riskyly for the last 4 days.,Road Officer,High,6
"Kindly send someone to fix this, litter basket cover broken at in Sector 4 — waste exposed to rain and pests for the past 2 days.",Sanitation Officer,Medium,5
The situation is getting worse — no street lights installed on the new road in Ward 7 — dangerous after dark.,Electrical Officer,Medium,6
Street light pole knocked down in the old city area — posing risk to passing traffic since last Monday.,Electrical Officer,High,2
The water supply has been disrupted near the bus depot since the water lineline repair work began for over a week.,Water Officer,Medium,3
Traffic signal at near the bus depot is non-functional — causing major traffic confusion for the past 3 days.,Electrical Officer,High,1
Children falling into open drainage pit on Station Road — emergency cover needed since the rain last week.,Drainage Officer,High,1
Frozen conduit suspected near the railway crossing — no water flow in the entire building since yesterday.,Water Officer,High,2
Multiple families are affected as underground water pipe seeping near in Ward 7 — road surface getting soft and dangerous.,Water Officer,High,2
Drinking water supplied on Oak Avenue appears discolored with visible sediment for over a week.,Water Officer,High,1
Water is leaking from the main pipeline in the downtown area and flooding the road since last night.,Water Officer,High,1
Our locality has been suffering because footpath tiles broken and uneven on the highway service road — causing falls especially in rainy season.,Road Officer,Low,14
Open defecation being practiced near on Cedar Road — very unhygienic condition since last Monday.,Sanitation Officer,High,1
Overflowing garbage bins on the highway service road for the last 4 days — waste spilling onto the road and footpath.,Sanitation Officer,High,2
This problem has been ignored for too long — dead animal carcass lying near the school for the past 2 days — causing foul smell and health concern.,Sanitation Officer,High,2
Intermittent water connection in the old city area — water comes for only 30 minutes a day since this morning.,Water Officer,Medium,4
Manhole cover missing on near the playground — open pit is extremely dangerous for pedestrians since last night.,Road Officer,High,5
Basement flooding in on Oak Avenue area due to blocked drainage since the rain last week.,Drainage Officer,High,1
Several complaints have been raised about this — sewage water mixing with drinking water supply near the main market — serious health risk since the rain last week.,Water Officer,High,1
Frozen pipe suspected on MG Road — no water flow in the entire building since the rain last week.,Water Officer,High,1
Multiple families are affected as water is leaking from the main pipeline near the main market and flooding the road for 10 days now.,Water Officer,High,1
I am writing to inform you that high voltage buzzing sound from distribution transformer in Ward 7 for over a week — people are afraid.,Electrical Officer,High,2
Bulk litter items like old furniture dumped on Cedar Road — blocking the footpath for the past month.,Sanitation Officer,Medium,4
Multiple families are affected as rain water from highway in Sector 12 not draining — entering residential plots for several days.,Drainage Officer,High,2
Manhole cover missing on near the flyover — open pit is extremely dangerous for pedestrians for the past 2 days.,Road Officer,High,5
Missing signal head at near the flyover junction — drivers confused about right of way since last Monday.,Electrical Officer,High,2
Frozen pipe suspected near the bus depot — no water flow in the entire building since the rain last week.,Water Officer,High,2
Please look into this urgently — pothole on the highway near the railway crossing caused a vehicle to lose control since last night.,Road Officer,High,5
Foul odor from sewer near the railway crossing is affecting entire neighbourhood since yesterday.,Drainage Officer,Medium,4
"Kindly send someone to fix this, frequent power cuts happening near the railway crossing since yesterday — load shedding with no prior notice.",Electrical Officer,Medium,4
Please take immediate action — guardrail on the highway on Elm Street is broken — vehicles at risk of going off street for over a week.,Road Officer,High,4
Dirty brown water is coming from the taps in Sector 12 since last Monday — not safe to drink.,Water Officer,High,2
Dead animal carcass lying on the highway service road for the past month — causing foul smell and health concern.,Sanitation Officer,High,1
"As a resident, I urge you to address the fact that the overhead water tank at in the old city area is overflowing and wasting water for 10 days now.",Water Officer,Low,6
Residents are complaining that transformer in Ward 7 is arcing and making loud noises — several houses lost power for the past 3 days.,Electrical Officer,High,2
Unauthorized electrical connection spotted at on 5th and Broadway — risk of overloading.,Electrical Officer,Medium,5
Highway onramp near the main market has surface cracking — dangerous for heavy vehicles for over a week.,Road Officer,High,6
Our locality has been suffering because construction debris left on road on Cedar Road not cleared by contractor since last Monday.,Road Officer,Medium,8
I wanted to bring to your attention that highway collapse due to waterlogging near the playground — several vehicles got stuck for over a week.,Road Officer,High,4
I would like to report that garbage truck not arriving in the residential colony since yesterday — 10+ days of accumulated waste on street.,Sanitation Officer,High,2
I am writing to inform you that rubbish bins at in the residential colony not disinfected — spreading disease risk since last night.,Sanitation Officer,High,3
I am writing to inform you that waste not collected before festival season on Maple Street — piling up on roads for the last 4 days.,Sanitation Officer,High,2
We have noticed that power outage affecting entire neighbourhood on Station Road since last Monday — no electricity at all.,Electrical Officer,High,3
Frozen main line suspected in Ward 7 — no water flow in the entire building for over a week.,Water Officer,High,1
Manhole overflowing with sewage near the temple since yesterday — unbearable smell and hygiene risk.,Drainage Officer,High,1
There is a major pipe burst in the old city area and water is gushing onto the road for the past 3 days.,Water Officer,High,1
Please look into this urgently — basement flooding in near the hospital area due to blocked drainage for the past month.,Drainage Officer,High,2
Roadside drain cover broken at near the bus depot — open gutter visible beside the road for several days.,Road Officer,Medium,8
Tap water tastes foul and has a strange odor on Maple Street for 10 days now.,Water Officer,High,2
Manhole overflowing with sewage on Oak Avenue since last Monday — unbearable smell and hygiene risk.,Drainage Officer,High,2
Electricity pole tilting dangerously in Sector 12 since last night — risk of falling on pedestrians.,Electrical Officer,High,1
Illegal connection to main sewer near on the highway service road causing backup for residents since the rain last week.,Drainage Officer,Medium,5
The situation is getting worse — damaged road in Block C of the housing society has not been repaired despite multiple complaints for over a week.,Road Officer,Medium,13
Recyclable waste not being collected separately in Ward 7 since last Monday — mixed with general waste.,Sanitation Officer,Low,5
Overflowing litter bins near the bus depot for 10 days now — waste spilling onto the road and footpath.,Sanitation Officer,High,2
Please look into this urgently — overflowing garbage bins near the flyover for over a week — waste spilling onto the road and footpath.,Sanitation Officer,High,2
I wanted to bring to your attention that catch basin at in the residential colony requires repairing — broken cover creating fall hazard.,Drainage Officer,Medium,5
Several complaints have been raised about this — gutter near the school jammed with debris — overflow during monsoon causing road damage for the last 4 days.,Drainage Officer,Medium,4
"Kindly send someone to fix this, open defecation being practiced near on Oak Avenue — very unhygienic condition since last Monday.",Sanitation Officer,High,2
Residents are complaining that rain water from highway near the vegetable market not draining — entering residential plots since yesterday.,Drainage Officer,High,3
Please look into this urgently — traffic signal at near the school is not working — causing major traffic confusion for 10 days now.,Electrical Officer,High,2
Please take immediate action — broken electric meter box near the vegetable market exposed to rain — shock risk for over a week.,Electrical Officer,High,2
Missing signal head at near the playground junction — drivers confused about right of way since the rain last week.,Electrical Officer,High,2
Our locality has been suffering because underground cable fault in Sector 4 causing power fluctuations since the rain last week.,Electrical Officer,Medium,4
Multiple families are affected as litter basket cover broken at near the main market — waste exposed to rain and pests for over a week.,Sanitation Officer,Medium,5
I wanted to bring to your attention that litter basket near the hospital is overflowing — no collection in days for the past month.,Sanitation Officer,Medium,4
